r_angstrom,pristine_rdf,Irr._Core_0-15A_rdf,Irr._Shell_15-30A_rdf,Irr._Outer_30-45A_rdf,Irr._Far_45-60A_rdf
0.5,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0
0.8500000000000001,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0
1.15,0.0,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0
1.35,0.0,0.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0,0.0
1.4500000000000002,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0
1.55,0.0,0.0,0.0,0.0,0.0
1.6,6.468068539289397e-05,0.0,0.0,0.0,0.0
1.6500000000000001,5.803747405469581e-05,0.0001944182057377527,0.00015772872375355464,0.000144011372746638,9.013210583598297e-05
1.7000000000000002,0.0006893736265461538,0.006484395864979009,0.00444116488051459,0.003945349647500774,0.0035584416129509256
1.75,0.018601841340886223,0.04280024730087834,0.033063438260532346,0.03432533725018892,0.03363181775239837
1.8,0.1057566827155934,0.11406733495882436,0.09981090572098254,0.10584256456470692,0.10575999114240205
1.85,0.17308144405808554,0.1895063919683832,0.16124090820128734,0.1577188476204395,0.16002367057678915
1.9000000000000001,0.15489699449913152,0.18661694930977032,0.1739204732077493,0.15832502777712298,0.1580660270053403
1.9500000000000002,0.13118133399591553,0.1313530371671834,0.13749123068391447,0.12977150571309887,0.13029358696395688
2.0,0.0930858789747636,0.07601849073009409,0.08904259630498648,0.0900421010940721,0.09437131094493317
2.05,0.07517608572136883,0.046318985252080634,0.06143045551683955,0.07126252998892284,0.07470357580870902
2.1,0.059532968078374326,0.03261939867244777,0.04285739305994052,0.05131958047413121,0.056016979265213
2.1500000000000004,0.03464100413859615,0.02060658753051568,0.029530212043083183,0.03354028495449721,0.03479259187952125
