site_type,distance_angstrom
FCC,0.893502
FCC,0.740102
FCC,0.749058
FCC,0.533025
FCC,0.723573
FCC,0.851332
FCC,0.759776
FCC,0.759105
FCC,0.94485
FCC,0.785599
FCC,0.957944
FCC,0.848619
FCC,0.892876
FCC,0.727427
FCC,0.820606
FCC,0.852642
FCC,1.121437
FCC,0.695208
FCC,0.814053
FCC,0.785428
FCC,0.597322
FCC,0.714619
FCC,0.668887
FCC,0.693811
FCC,0.899512
FCC,0.623594
FCC,0.765753
FCC,0.739794
FCC,0.511612
FCC,0.669971
FCC,0.7422
FCC,0.645689
FCC,0.601049
FCC,0.593858
FCC,0.703969
FCC,0.499695
FCC,0.749691
FCC,0.892153
FCC,0.552988
FCC,0.517464
FCC,0.573347
FCC,0.508541
FCC,0.76836
FCC,0.690467
FCC,0.712815
FCC,0.66116
FCC,0.589215
FCC,0.402027
FCC,0.628149
FCC,0.407213
FCC,0.578444
FCC,2.059965
FCC,0.652405
FCC,0.645578
FCC,0.905028
FCC,0.459155
FCC,0.600482
FCC,0.63094
FCC,0.626209
FCC,0.579783
FCC,0.81764
FCC,0.728371
FCC,0.481996
FCC,0.700385
FCC,0.60298
FCC,0.677425
FCC,0.953364
FCC,0.761144
FCC,0.80573
FCC,0.837179
FCC,0.798716
FCC,0.586105
FCC,0.968272
FCC,0.686371
FCC,0.89264
FCC,0.660876
FCC,0.561616
FCC,0.600631
FCC,0.579014
FCC,0.586234
FCC,0.686244
FCC,0.788743
FCC,0.645585
FCC,0.654909
FCC,0.703844
FCC,0.388747
FCC,0.847104
FCC,0.639148
FCC,0.629533
FCC,0.38708
FCC,0.545538
FCC,0.671847
FCC,0.475424
FCC,0.606185
FCC,0.491056
FCC,0.91982
FCC,0.874396
FCC,0.497287
FCC,0.7383
FCC,0.39437
FCC,0.715763
FCC,0.737608
FCC,0.575744
FCC,0.617287
FCC,0.714423
FCC,0.511425
FCC,0.764528
FCC,0.712283
FCC,0.732168
FCC,0.635332
FCC,0.789505
FCC,0.398856
FCC,0.737408
FCC,0.625038
FCC,0.776134
FCC,0.407047
FCC,0.585685
FCC,0.731082
FCC,0.908002
FCC,0.499694
FCC,0.834845
FCC,0.615815
FCC,0.941611
FCC,0.615323
FCC,0.838148
FCC,0.876256
FCC,0.713451
FCC,0.734587
FCC,0.595535
FCC,0.77041
FCC,0.774061
FCC,0.665906
FCC,0.547059
FCC,0.632038
FCC,0.470018
FCC,0.571696
FCC,0.82252
FCC,0.737145
FCC,0.866316
FCC,0.563241
FCC,0.550675
FCC,0.78238
FCC,0.697117
FCC,0.324733
FCC,0.596777
FCC,0.439462
FCC,0.656737
FCC,0.61943
FCC,0.610019
FCC,0.566314
FCC,0.618212
FCC,0.532737
FCC,0.653214
FCC,0.432147
FCC,0.620332
FCC,0.910128
FCC,0.582328
FCC,0.706164
FCC,0.488598
FCC,0.540096
FCC,0.720351
FCC,0.761806
FCC,0.71172
FCC,0.596566
FCC,0.700057
FCC,0.637548
FCC,0.976885
FCC,0.588107
FCC,0.569061
FCC,0.962626
FCC,0.543157
FCC,0.644977
FCC,0.656321
FCC,0.862598
FCC,1.138105
FCC,0.794562
FCC,0.554587
FCC,0.821691
FCC,0.599023
FCC,0.58214
FCC,0.683104
FCC,0.587622
FCC,0.964991
FCC,0.673129
FCC,0.556529
FCC,0.724305
FCC,0.462303
FCC,0.567222
FCC,0.908272
FCC,0.639253
FCC,0.831659
FCC,0.716827
FCC,0.42065
FCC,0.603424
FCC,0.473759
FCC,0.653315
FCC,0.598272
FCC,0.548441
FCC,0.696428
FCC,0.590255
FCC,0.747304
FCC,0.585987
FCC,0.563654
FCC,0.432767
FCC,0.441451
FCC,0.575069
FCC,0.702397
FCC,0.772626
FCC,0.629207
FCC,0.732804
FCC,0.655912
FCC,0.81459
FCC,0.661876
FCC,0.79595
FCC,0.813989
FCC,0.792875
FCC,0.499615
FCC,0.92675
FCC,0.746734
FCC,0.715114
FCC,0.608916
FCC,0.855804
FCC,0.444716
FCC,0.957242
FCC,0.731589
FCC,0.919208
FCC,0.751675
FCC,0.671845
FCC,0.571697
FCC,0.814853
FCC,0.678528
FCC,0.588656
FCC,0.740803
FCC,0.91477
FCC,0.785725
FCC,0.618758
FCC,0.819411
FCC,0.525072
FCC,0.676998
FCC,0.713628
FCC,0.756398
FCC,0.617845
FCC,0.574666
FCC,0.701549
FCC,0.595775
FCC,0.764573
FCC,0.960302
FCC,0.527138
FCC,0.678763
FCC,0.420634
FCC,0.574349
FCC,0.454839
FCC,0.665874
FCC,0.970372
FCC,0.606882
FCC,0.837168
FCC,0.688262
FCC,0.77111
FCC,0.457792
FCC,0.831889
FCC,0.780019
FCC,0.575967
FCC,0.620362
FCC,0.71484
FCC,0.81065
FCC,0.83513
FCC,0.312225
FCC,0.406734
FCC,0.869684
FCC,0.691497
FCC,0.824495
FCC,0.57566
FCC,0.907942
FCC,1.024345
FCC,0.720965
FCC,0.978068
FCC,2.112408
FCC,0.762845
FCC,0.67595
FCC,0.732527
FCC,0.705395
FCC,0.630718
FCC,0.824493
FCC,0.664135
FCC,1.055871
FCC,0.755389
FCC,0.771517
FCC,0.742101
FCC,0.554845
FCC,0.517097
FCC,0.751752
FCC,0.624232
FCC,0.775914
FCC,0.899596
FCC,0.448969
FCC,0.637369
FCC,0.576324
FCC,0.521018
FCC,0.416335
FCC,0.871599
FCC,0.606876
FCC,0.617698
FCC,0.761311
FCC,0.644758
FCC,0.717235
FCC,0.858728
FCC,0.443242
FCC,0.929456
FCC,0.776912
FCC,0.837837
FCC,0.604822
FCC,0.6848
FCC,0.532697
FCC,0.42887
FCC,0.540668
FCC,0.562093
FCC,0.595011
FCC,0.827543
FCC,0.543952
FCC,0.361684
FCC,0.66302
FCC,0.490147
FCC,0.621178
FCC,0.757434
FCC,0.432531
FCC,0.497539
FCC,0.89638
FCC,0.734063
FCC,0.385924
FCC,0.729481
FCC,0.582492
FCC,0.77028
FCC,0.696246
FCC,0.418513
FCC,0.653634
FCC,0.560846
FCC,0.523638
FCC,0.766097
FCC,0.618073
FCC,0.817627
FCC,0.574829
FCC,0.700076
FCC,0.683154
FCC,0.819762
FCC,0.494468
FCC,0.565099
FCC,0.805135
FCC,0.728792
FCC,0.873657
FCC,0.712393
FCC,0.682924
FCC,0.855926
FCC,0.567077
FCC,0.621768
FCC,0.549208
FCC,0.647364
FCC,0.726861
FCC,0.792435
FCC,0.833555
FCC,0.808296
FCC,0.806151
FCC,0.809981
FCC,0.813066
FCC,0.526326
FCC,0.687397
FCC,0.51876
FCC,0.25068
FCC,0.453416
FCC,0.652981
FCC,0.644514
FCC,0.739568
FCC,0.732174
FCC,0.757501
FCC,0.749532
FCC,0.656319
FCC,0.706369
FCC,0.631006
FCC,0.864718
FCC,0.704834
FCC,0.906286
FCC,0.847056
FCC,0.710383
FCC,0.784603
FCC,0.552042
FCC,0.719609
FCC,0.734533
FCC,0.563247
FCC,0.822547
FCC,0.547831
FCC,0.486462
FCC,0.52977
FCC,0.731843
FCC,0.751834
FCC,0.822647
FCC,0.598306
FCC,0.734516
FCC,0.636324
FCC,0.502119
FCC,0.614397
FCC,0.584561
FCC,0.664907
FCC,0.704489
FCC,0.829768
FCC,0.683254
FCC,0.573414
FCC,0.810777
FCC,0.536396
FCC,0.712171
FCC,0.631965
FCC,0.466709
FCC,0.646517
FCC,0.489378
FCC,0.779611
FCC,0.656589
FCC,0.690949
FCC,0.646873
FCC,0.428178
FCC,0.288066
FCC,0.6429
FCC,0.469542
FCC,0.460676
FCC,0.453091
FCC,0.430789
FCC,0.624496
FCC,0.410187
FCC,0.62301
FCC,0.678518
FCC,0.695114
FCC,0.485887
FCC,0.682844
FCC,0.66348
FCC,0.682192
FCC,0.701745
FCC,0.828088
FCC,0.514221
FCC,0.788776
FCC,0.701562
FCC,0.813127
FCC,0.743199
FCC,0.373584
FCC,0.68321
FCC,0.604632
FCC,0.363413
FCC,0.917939
FCC,0.621246
FCC,0.749857
FCC,0.474552
FCC,0.655815
FCC,0.509716
FCC,0.702853
FCC,0.720419
FCC,0.707758
FCC,0.743883
FCC,0.73157
FCC,0.645311
FCC,0.662488
FCC,0.677284
FCC,0.561859
FCC,0.678726
FCC,0.505062
FCC,0.80087
FCC,0.560453
FCC,0.633929
FCC,0.57711
FCC,0.657453
FCC,0.708698
FCC,0.69221
FCC,0.681676
FCC,0.754695
FCC,0.879114
FCC,0.387271
FCC,0.604375
FCC,0.526369
FCC,0.524011
FCC,0.422859
FCC,0.623087
FCC,0.640365
FCC,0.446415
FCC,0.49977
FCC,0.556059
FCC,0.64509
FCC,0.768187
FCC,0.769279
FCC,0.785603
FCC,0.551862
FCC,0.581663
FCC,0.621342
FCC,0.675629
FCC,0.635167
FCC,0.828358
FCC,0.746541
FCC,0.570209
FCC,0.497625
FCC,0.790685
FCC,0.941662
FCC,0.847259
FCC,0.663905
FCC,0.545997
FCC,0.485662
FCC,0.705253
FCC,0.616046
FCC,0.784501
FCC,0.628772
FCC,0.658442
FCC,0.661075
FCC,0.614084
FCC,0.86016
FCC,0.64399
FCC,0.636661
FCC,0.830989
FCC,0.765338
FCC,0.633033
FCC,0.536908
FCC,0.596895
FCC,0.588378
FCC,0.381587
FCC,0.698865
FCC,0.61199
FCC,0.463569
FCC,0.712865
FCC,0.625056
FCC,0.405927
FCC,0.519566
FCC,0.530617
FCC,0.184434
FCC,0.427226
FCC,0.698941
FCC,0.541644
FCC,0.734665
FCC,0.706656
FCC,0.468394
FCC,0.63904
FCC,0.497267
FCC,0.524586
FCC,0.637805
FCC,0.634811
FCC,0.472195
FCC,0.439334
FCC,0.539932
FCC,0.712433
FCC,0.616464
FCC,0.385896
FCC,0.542104
FCC,0.48887
FCC,0.373406
FCC,0.509626
FCC,0.516226
FCC,0.517846
FCC,0.662953
FCC,0.5679
FCC,0.728673
FCC,0.737719
FCC,0.696935
FCC,0.571887
FCC,0.427132
FCC,0.650351
FCC,0.574813
FCC,0.752934
FCC,0.623399
FCC,0.691577
FCC,0.750287
FCC,0.926352
FCC,0.544626
FCC,0.50294
FCC,0.520036
FCC,0.676831
FCC,0.576066
FCC,0.545061
FCC,0.380894
FCC,0.493067
FCC,0.521929
FCC,0.599348
FCC,0.747444
FCC,0.54428
FCC,0.557129
FCC,2.196981
FCC,0.639261
FCC,0.635795
FCC,0.590342
FCC,0.729897
FCC,0.525861
