site_type,distance_angstrom
FCC,0.442534
FCC,0.20334
FCC,0.389623
FCC,0.320137
FCC,0.375357
FCC,0.413498
FCC,0.29445
FCC,0.368679
FCC,0.432163
FCC,0.505008
FCC,0.359437
FCC,0.287276
FCC,0.454145
FCC,0.469918
FCC,0.48836
FCC,0.371045
FCC,0.54126
FCC,0.472194
FCC,0.375326
FCC,0.546376
FCC,0.488193
FCC,0.555988
FCC,0.395982
FCC,0.50775
FCC,0.343757
FCC,0.43951
FCC,0.325796
FCC,0.436634
FCC,0.462525
FCC,0.515515
FCC,0.635623
FCC,0.547834
FCC,0.471532
FCC,0.400137
FCC,0.345061
FCC,0.461371
FCC,0.315165
FCC,0.572404
FCC,0.505793
FCC,0.33931
FCC,0.501894
FCC,0.492554
FCC,0.544855
FCC,0.291545
FCC,0.304872
FCC,0.549222
FCC,0.384852
FCC,0.376142
FCC,0.526716
FCC,0.589704
FCC,0.384373
FCC,0.490634
FCC,0.503969
FCC,0.316085
FCC,0.342841
FCC,0.431044
FCC,0.509004
FCC,0.456419
FCC,0.379519
FCC,0.534574
FCC,0.424434
FCC,0.541416
FCC,0.517994
FCC,0.385712
FCC,0.399545
FCC,0.332282
FCC,0.550344
FCC,0.388928
FCC,0.478413
FCC,0.339006
FCC,0.288836
FCC,0.436853
FCC,0.332886
FCC,0.417671
FCC,0.445052
FCC,0.343871
FCC,0.355604
FCC,0.504289
FCC,0.373206
FCC,0.464518
FCC,0.511725
FCC,0.538078
FCC,0.623468
FCC,0.432473
FCC,0.560726
FCC,0.494438
FCC,0.382414
FCC,0.412924
FCC,0.527884
FCC,0.504014
FCC,0.472691
FCC,0.441351
FCC,0.347805
FCC,0.541259
FCC,0.40382
FCC,0.686062
FCC,0.516426
FCC,0.489807
FCC,0.239314
FCC,0.47904
FCC,0.399104
FCC,0.400927
FCC,0.611744
FCC,0.377143
FCC,0.543457
FCC,0.461698
FCC,0.47054
FCC,0.627611
FCC,0.529383
FCC,0.374441
FCC,0.543636
FCC,0.33764
FCC,0.735969
FCC,0.590589
FCC,0.421298
FCC,0.530097
FCC,0.46152
FCC,0.557459
FCC,0.59027
FCC,0.591636
FCC,0.436594
FCC,0.66263
FCC,0.430267
FCC,0.610032
FCC,0.349456
FCC,0.489626
FCC,0.526425
FCC,0.556291
FCC,0.420441
FCC,0.333155
FCC,0.567894
FCC,0.406117
FCC,0.390804
FCC,0.38507
FCC,0.53732
FCC,0.515935
FCC,0.532337
FCC,0.327686
FCC,0.38975
FCC,0.454704
FCC,0.446422
FCC,0.423794
FCC,0.576137
FCC,0.337957
FCC,0.659353
FCC,0.341923
FCC,0.367245
FCC,0.4919
FCC,0.151408
FCC,0.486501
FCC,0.546971
FCC,0.351348
FCC,0.564493
FCC,0.480307
FCC,0.384919
FCC,0.598679
FCC,0.414378
FCC,0.807259
FCC,0.491178
FCC,0.456901
FCC,0.372167
FCC,0.478544
FCC,0.289366
FCC,0.4617
FCC,0.445733
FCC,0.322708
FCC,0.420043
FCC,0.473214
FCC,0.394763
FCC,0.727253
FCC,0.534635
FCC,0.593698
FCC,0.587831
FCC,0.626332
FCC,0.604615
FCC,0.531426
FCC,0.564811
FCC,0.391698
FCC,0.506836
FCC,0.44897
FCC,0.380214
FCC,0.340881
FCC,0.616586
FCC,0.371491
FCC,0.396704
FCC,0.471237
FCC,0.446752
FCC,0.548446
FCC,0.548844
FCC,0.560827
FCC,0.490849
FCC,0.577314
FCC,0.376753
FCC,0.468761
FCC,0.49765
FCC,0.422478
FCC,0.864255
FCC,0.39942
FCC,0.516267
FCC,0.536523
FCC,0.300408
FCC,0.495635
FCC,0.528765
FCC,0.464265
FCC,0.602407
FCC,0.540845
FCC,0.473047
FCC,0.408481
FCC,0.434945
FCC,0.339885
FCC,0.45933
FCC,0.451913
FCC,0.48337
FCC,0.48653
FCC,0.32166
FCC,0.472817
FCC,0.423954
FCC,0.543785
FCC,0.396224
FCC,0.36515
FCC,0.648667
FCC,0.246218
FCC,0.58816
FCC,0.451152
FCC,0.444201
FCC,0.428961
FCC,0.430423
FCC,0.469811
FCC,0.233201
FCC,0.334826
FCC,0.399197
FCC,0.399463
FCC,0.640926
FCC,0.42337
FCC,0.291662
FCC,0.430057
FCC,0.18707
FCC,0.356938
FCC,0.435834
FCC,0.346607
FCC,0.377533
FCC,0.434735
FCC,0.271768
FCC,0.456113
FCC,0.349574
FCC,0.378806
FCC,0.417893
FCC,0.212973
FCC,0.335154
FCC,0.459188
FCC,0.311072
FCC,0.247387
FCC,0.451025
FCC,0.356874
FCC,0.432409
FCC,0.503603
FCC,0.515203
FCC,0.675132
FCC,0.291767
FCC,0.74815
FCC,0.392805
FCC,0.504286
FCC,0.373849
FCC,0.42583
FCC,0.382471
FCC,0.505504
FCC,0.46941
FCC,0.296419
FCC,0.602053
FCC,0.344888
FCC,0.508138
FCC,0.529888
FCC,0.396667
