site_type,distance_angstrom
FCC,1.102422
FCC,0.451343
FCC,1.496924
FCC,1.102802
FCC,1.806931
FCC,0.730018
FCC,1.35591
FCC,1.714053
FCC,0.987337
FCC,1.626212
FCC,1.668166
FCC,1.417147
FCC,0.597351
FCC,1.25272
FCC,1.454423
FCC,1.133838
FCC,1.380838
FCC,0.470868
FCC,1.663741
FCC,0.679776
FCC,0.921548
FCC,0.7898
FCC,1.473373
FCC,0.780206
FCC,0.846453
FCC,0.947432
FCC,1.68614
FCC,0.922531
FCC,1.000917
FCC,0.821633
FCC,1.460937
FCC,0.842794
FCC,0.68695
FCC,1.128149
FCC,1.335465
FCC,0.28898
FCC,0.751026
FCC,1.850811
FCC,1.204342
FCC,0.687388
FCC,0.931111
FCC,0.633393
FCC,1.993721
FCC,1.652733
FCC,0.396036
FCC,0.485202
FCC,0.82706
FCC,0.865361
FCC,0.798708
FCC,0.830025
FCC,0.695267
FCC,0.583683
FCC,0.397761
FCC,1.743254
FCC,1.605213
FCC,0.565087
FCC,0.897654
FCC,0.553426
FCC,0.877938
FCC,2.076663
FCC,0.858914
FCC,1.656356
FCC,1.391516
FCC,0.517506
FCC,0.993945
FCC,0.681029
FCC,0.797019
FCC,0.720825
FCC,0.732748
FCC,0.572245
FCC,0.636329
FCC,0.622471
FCC,0.749163
FCC,0.626236
FCC,0.535878
FCC,1.503319
FCC,1.667057
FCC,0.90047
FCC,0.279722
FCC,0.648944
FCC,1.009808
FCC,1.572017
FCC,0.655253
FCC,1.609172
FCC,0.431157
FCC,1.0453
FCC,0.780527
FCC,1.846807
FCC,0.752235
FCC,1.146874
FCC,0.605393
FCC,0.697184
FCC,1.072634
FCC,1.213905
FCC,0.967441
FCC,0.540662
FCC,1.052662
FCC,0.965039
FCC,0.889311
FCC,0.652204
FCC,1.471075
FCC,1.360662
FCC,0.960924
FCC,0.583948
FCC,0.81291
FCC,0.863097
FCC,0.906273
FCC,0.811699
FCC,1.258518
FCC,1.542465
FCC,1.298092
FCC,0.856505
FCC,0.422719
FCC,1.785704
FCC,1.629695
FCC,0.985353
FCC,0.872889
FCC,0.8121
FCC,1.248777
FCC,1.541574
FCC,1.634943
FCC,1.250509
FCC,0.828522
FCC,0.555842
FCC,0.958818
