site_type,distance_angstrom
FCC,0.514125
FCC,0.443842
FCC,0.648633
FCC,0.493682
FCC,0.597028
FCC,0.502063
FCC,0.557577
FCC,0.564416
FCC,0.485326
FCC,0.551756
FCC,0.545085
FCC,0.643779
FCC,0.626683
FCC,0.589147
FCC,0.605258
FCC,0.64738
FCC,0.630902
FCC,0.644998
FCC,0.473411
FCC,0.738831
FCC,0.594185
FCC,0.582108
FCC,0.738493
FCC,0.850274
FCC,0.715809
FCC,0.60242
FCC,0.784959
FCC,0.437933
FCC,0.583537
FCC,0.670971
FCC,0.746617
FCC,0.54372
FCC,0.592057
FCC,0.690296
FCC,0.686453
FCC,0.460537
FCC,0.696439
FCC,0.675681
FCC,0.548492
FCC,0.886442
FCC,0.831573
FCC,0.684638
FCC,0.655451
FCC,0.668894
FCC,0.675857
FCC,0.617251
FCC,0.682206
FCC,0.731503
FCC,0.738298
FCC,0.685454
FCC,0.823063
FCC,0.781153
FCC,0.616629
FCC,0.530627
FCC,0.594451
FCC,0.432691
FCC,0.636104
FCC,0.710534
FCC,0.62824
FCC,0.662014
FCC,0.809873
FCC,0.557041
FCC,0.69751
FCC,0.764895
FCC,0.68704
FCC,0.545136
FCC,0.790468
FCC,0.887804
FCC,0.631067
FCC,0.731881
FCC,0.829967
FCC,0.708371
FCC,0.701385
FCC,0.566317
FCC,0.555022
FCC,0.621278
FCC,0.562907
FCC,0.666731
FCC,0.61695
FCC,0.627768
FCC,0.5835
FCC,0.689066
FCC,0.559528
FCC,0.865512
FCC,0.61377
FCC,0.774066
FCC,0.75087
FCC,0.39512
FCC,0.733178
FCC,0.604118
FCC,0.691033
FCC,0.548454
FCC,0.618868
FCC,0.685124
FCC,0.393614
FCC,0.586473
FCC,0.522269
FCC,0.428674
FCC,0.612031
FCC,0.594747
FCC,0.88349
FCC,0.455009
FCC,0.591188
FCC,0.756615
FCC,0.776706
FCC,0.507816
FCC,0.617245
FCC,0.665588
FCC,0.851402
FCC,0.75631
FCC,0.688196
FCC,0.583013
FCC,0.481026
FCC,0.450325
FCC,0.650177
FCC,0.523344
FCC,0.528707
FCC,0.538762
FCC,0.588468
FCC,0.642418
FCC,0.522718
FCC,0.463526
FCC,0.630531
FCC,0.390236
FCC,0.517427
FCC,0.697178
FCC,0.517328
FCC,0.649822
FCC,0.538458
FCC,0.823188
FCC,0.687031
FCC,0.640443
FCC,0.474589
FCC,0.615026
FCC,0.344499
FCC,0.545779
FCC,0.658949
FCC,0.490031
FCC,0.63319
FCC,0.575357
FCC,0.736806
FCC,0.465376
FCC,0.450302
FCC,0.672426
FCC,0.406729
FCC,0.67116
FCC,0.560645
FCC,0.549821
FCC,0.680406
FCC,0.460088
FCC,0.499922
FCC,0.575344
FCC,0.588337
FCC,0.594356
FCC,0.491374
FCC,0.434466
FCC,0.516848
FCC,0.536049
FCC,0.687277
FCC,0.671171
FCC,0.692343
FCC,0.359971
FCC,0.462415
FCC,0.670752
FCC,0.465747
FCC,0.773352
FCC,0.490676
FCC,0.521434
FCC,0.721932
FCC,0.892833
FCC,0.527165
FCC,0.577447
FCC,0.784659
FCC,0.680017
FCC,0.697177
FCC,0.325051
FCC,0.599136
FCC,0.139338
FCC,0.818457
FCC,0.516282
FCC,0.636137
FCC,0.373042
FCC,0.748112
FCC,0.613366
FCC,0.509161
FCC,0.689306
FCC,0.688762
FCC,0.653955
FCC,0.519801
FCC,0.658987
FCC,0.398034
FCC,0.497744
FCC,0.774908
FCC,0.653149
FCC,0.703554
FCC,0.549883
FCC,0.520157
FCC,0.609933
FCC,0.494847
FCC,0.78468
FCC,0.610994
FCC,0.634201
FCC,0.347063
FCC,0.641804
FCC,0.541571
FCC,0.545062
FCC,0.502288
FCC,0.412117
FCC,0.739036
FCC,0.517554
FCC,0.586274
FCC,0.556067
FCC,0.511495
FCC,0.332165
FCC,0.64032
FCC,0.402344
FCC,0.594626
FCC,0.405968
FCC,0.587509
FCC,0.698746
